team,cooking_skill,fishing_skill,swimming,cold_tolerance,working_with_animals,remote_location,parka_color,team_flag,distance_mi
University of Arizona,3,1,Yes,3,TRUE,1,Blue,Sea Spider,8831
University of Arizona,3,1,Yes,4,TRUE,4,Red,Orca,7400
University of Arizona,2,3,Yes,3,TRUE,2,Orange,Emperor Penguin,8280
University of Arizona,2,2,Yes,4,TRUE,3,Blue,Leopard Seal,8344
University of Arizona,3,5,Yes,4,TRUE,3,Black,Sea Spider,9224
University of Arizona,2,1,I can dog paddle,3,TRUE,3,Blue,Leopard Seal,8290
University of Arizona,5,1,Yes,3,TRUE,3,White,Orca,11700
University of Arizona,3,1,I can dog paddle,3,TRUE,3,Blue,Orca,9500
University of Arizona,2,2,No,2,TRUE,3,Orange,Sea Spider,8534
University of Arizona,3,1,Yes,2,TRUE,3,Red,Leopard Seal,9870
University of Arizona,1,2,Yes,3,TRUE,4,Red,Leopard Seal,7400
University of Arizona,2,1,I can dog paddle,3,FALSE,3,Red,Emperor Penguin,9000
University of Arizona,4,2,Yes,2,TRUE,2,White,Leopard Seal,10000
University of Arizona,4,4,I can dog paddle,5,TRUE,3,Black,Leopard Seal,8383
University of Arizona,3,1,Yes,3,TRUE,3,Black,Emperor Penguin,8500
University of Arizona,3,3,Yes,2,TRUE,4,White,Emperor Penguin,9000
University of Arizona,4,4,Yes,4,TRUE,4,Blue,Leopard Seal,9865
University of Arizona,2,3,Yes,3,TRUE,3,Orange,Leopard Seal,7475
University of Arizona,5,1,Yes,3,TRUE,3,Blue,Emperor Penguin,9000
University of Arizona,4,2,Yes,2,TRUE,1,White,Leopard Seal,9400
University of Arizona,5,1,Yes,5,TRUE,3,Blue,Orca,8567
University of Arizona,5,2,Yes,5,TRUE,5,Red,Emperor Penguin,8765